"docname"	"pre"	"keyword"	"post"	"pattern"	"id"	"hit"
"10018"	"said it s fortyfive pounds"	"or something"	"for the first month"	"or something"	868	1
"10024"	"of pate uh and toast"	"or whatever"	"for starters"	"or whatever"	718	1
"10040"	"with a bit of fruit"	"and all"	"on the side"	"and all"	179	1
"10047"	"i was coming out tonight"	"and all"	"going"	"and all"	180	1
"10261"	"was all just one level"	"or something"	""	"or something"	869	1
"10267"	"inappropriate behaviours in public"	"and all that"	"sort of business"	"and all that"	678	1
"10273"	"termed you know as abuse"	"or whatever"	"yeah"	"or whatever"	719	1
"10301"	"were selling the big issue"	"or something"	""	"or something"	870	1
"10303"	"donegall place with a kilt"	"and all"	"on playing away like nobody"	"and all"	182	1
"10329"	"and sits in his socks"	"and all"	""	"and all"	183	1
"10333"	"be head on the floor"	"and all"	"you know like"	"and all"	184	1
"10360"	"into it piss on it"	"or something"	""	"or something"	871	1
"10371"	"ve piddled on that carpet"	"and everything"	"else"	"and everything"	358	1
"10399"	"because historical and then heritage"	"or whatever"	""	"or whatever"	720	1
"10406"	"ardoyne because we have classes"	"and all"	"now"	"and all"	185	1
"10407"	"too if you d bingo"	"or something"	"on"	"or something"	872	1
"10484"	"of a carpet something done"	"or whatever"	""	"or whatever"	721	1
"10557"	"from about seven to eight"	"or something"	"you 1 1 know 1"	"or something"	873	1
"10558"	"have come out with thoughts"	"and all that"	"you wouldnt have thought if"	"and all that"	679	1
"10565"	"because garret was working late"	"or something like that"	""	"or something like that"	471	1
"10566"	"they re coming to amsterdam"	"and all"	"but i really dont have"	"and all"	188	1
"10589"	"and my aunties and uncles"	"and all"	"round for dinner 3 3"	"and all"	189	1
"10613"	"i ll 1 ask upstairs"	"or something like that"	"and see if they ve"	"or something like that"	472	1
"10629"	"that would cut out hassle"	"and all"	"as well like"	"and all"	190	1
"10637"	"3 3 made the dessert"	"and everything"	"3"	"and everything"	359	1
"10645"	"know she was very reasonable"	"and all"	"like she s just you"	"and all"	191	1
"10685"	"and like cleaned 1 1"	"and everything"	"1"	"and everything"	360	1
"10720"	"be able to walk about"	"and stuff"	"if it s"	"and stuff"	564	1
"10732"	"where the the tech was"	"and all"	""	"and all"	192	1
"10733"	"uh garage ya yard bit"	"and all"	""	"and all"	193	1
"10769"	"under underjudging them"	"or whatever"	"the word is"	"or whatever"	722	1
"10776"	"majority of them are drunks"	"or whatever"	"so they would be hanging"	"or whatever"	723	1
"10779"	"will be probably your walkway"	"or something like that"	"you know"	"or something like that"	473	1
"10781"	"the wee kids hang out"	"and all"	""	"and all"	194	1
"10802"	"meantime while i was waiting"	"or whatever"	"get a pop at another"	"or whatever"	724	1
"10804"	"say do like the scaffolding"	"or something"	"or even labouring"	"or something"	877	1
"10823"	"big white beaches"	"and everything"	""	"and everything"	361	1
"10863"	"pub says that fruit picking"	"or something like that"	"there but it was on"	"or something like that"	474	1
"10903"	"own apartment got a girl"	"and all"	"over there a girlfriend"	"and all"	195	1
"10926"	"but now economically"	"and all"	"when you re dealing with"	"and all"	196	1
"10945"	"end because all this reading"	"and all"	"like you re meant do"	"and all"	198	1
"10973"	"what about your assignments"	"and all"	""	"and all"	199	1
"10997"	"know one of my friends"	"or something"	"2 2 that 2 i"	"or something"	879	1
"10998"	"i m up in belfast"	"and all"	"my friends are rather close"	"and all"	200	1
"1106"	"we ll give him twenty"	"or something"	"and buy a box of"	"or something"	811	1
"11062"	"in the 2 2 midsixties"	"or something"	"2"	"or something"	880	1
"11106"	"thirties when he got married"	"or so"	""	"or so"	509	1
"1118"	"he dad got all sad"	"and stuff"	""	"and stuff"	546	1
"11187"	"know the my local bank"	"or whatever"	""	"or whatever"	726	1
"1119"	"doing well in the business"	"and all"	""	"and all"	99	1
"1120"	"they just want my money"	"and all this"	"shite"	"and all this"	654	1
"1123"	"m i m getting blackballed"	"and all"	""	"and all"	101	1
"11275"	"tracking"	"and stuff"	"no"	"and stuff"	565	1
"1129"	"leaves his books lying about"	"and stuff"	"and you can flick through"	"and stuff"	547	1
"11343"	"it s out"	"and all"	""	"and all"	201	1
"1136"	"each other out in business"	"and all"	""	"and all"	102	1
"11404"	"the the trailers for it"	"and all"	""	"and all"	202	1
"11448"	"to like the video channel"	"or whatever"	"you know the audio channel"	"or whatever"	727	1
"1146"	"to sort of respect him"	"or whatever"	""	"or whatever"	709	1
"1155"	"of the leitrim be brigade"	"or whatever"	"it is"	"or whatever"	710	1
"1163"	"there s like rumours"	"and all"	"you have to have sex"	"and all"	103	1
"1166"	"ride around on its back"	"and all"	""	"and all"	104	1
"1169"	"to lift the blackball thing"	"and all that"	""	"and all that"	673	1
"1170"	"else you re not in"	"and all"	"sort of nonsense"	"and all"	106	1
"11832"	"and bob would"	"and all"	"the rest of the dukes"	"and all"	203	1
"1186"	"to make up to him"	"or something like that"	""	"or something like that"	464	1
"11886"	""	"and all"	"these german and french 2"	"and all"	204	1
"11903"	"know going out for walks"	"and all this"	"here"	"and all this"	660	1
"11904"	"bought the the english paper"	"or whatever"	"and he d go away"	"or whatever"	728	1
"11906"	"have you got a light"	"or something"	""	"or something"	881	1
"12023"	"at the door doing tickets"	"or whatever"	"and just noticed him"	"or whatever"	729	1
"12033"	"know we just started chatting"	"and stuff"	""	"and stuff"	566	1
"12048"	"just a smoky jazz place"	"or whatever"	"and sat there and ordered"	"or whatever"	730	1
"1205"	"treated with the right respect"	"and all this"	"sort of stuff"	"and all this"	655	1
"12050"	"we were just sitting chatting"	"and stuff"	""	"and stuff"	567	1
"12054"	"was just playing it cool"	"or whatever"	""	"or whatever"	731	1
"12055"	"i really fancied him"	"and everything"	"but"	"and everything"	362	1
"12058"	"brilliant m uhm movie collection"	"or whatever"	""	"or whatever"	732	1
"1206"	"tommy brick his granda died"	"or something"	""	"or something"	815	1
"12075"	"and had a mad life"	"and all"	"the rest"	"and all"	206	1
"12079"	"this commotion at the door"	"and stuff"	""	"and stuff"	568	1
"12083"	"it s probably his mates"	"or something"	"3 3 you know 3"	"or something"	882	1
"1209"	"my dying wish for you"	"or something"	"like"	"or something"	816	1
"12113"	"eight oclock in the morning"	"or something"	"and like i didnt hear"	"or something"	883	1
